"status","http_status","title","url","final_url","directory","content_scope","filtered_blocks","image_count","failed_images","error"
"ok","200","Everyday Benefits of AI Agents: Simple Ways They Can Help You - InfoQo","https://us.infoqo.com/dsr?q=discover+more+about+usage+of+ai+agents&de=c&arq=ai+agents&pub=vps_scraper&rac=discover+more+about+usage+of+ai+agents+read+more+about+ai+agents+ai+agents&asid=iq_ch186&terms=&ad_id=0","https://us.infoqo.com/dsr?q=discover+more+about+usage+of+ai+agents&de=c&arq=ai+agents&pub=vps_scraper&rac=discover+more+about+usage+of+ai+agents+read+more+about+ai+agents+ai+agents&asid=iq_ch186&terms=&ad_id=0","C:\Users\Administrator\_projects\tool_scrape_web_page\scraped_output\us.infoqo.com\ffa6b58f04cd","body","6","2","0",
"ok","200","AI for Remote Teams: A Friendly Introduction - InfoQo","https://us.infoqo.com/dsr?q=learn+more+about+ai+remote+management&de=c&arq=ai+remote+management&pub=vps_scraper&rac=learn+more+about+ai+remote+management+start+learning+about+ai+remote+management+ai+remote+management&asid=iq_ch210&terms=ai+remote+management+tools&ad_id=0","https://us.infoqo.com/dsr?q=learn+more+about+ai+remote+management&de=c&arq=ai+remote+management&pub=vps_scraper&rac=learn+more+about+ai+remote+management+start+learning+about+ai+remote+management+ai+remote+management&asid=iq_ch210&terms=ai+remote+management+tools&ad_id=0","C:\Users\Administrator\_projects\tool_scrape_web_page\scraped_output\us.infoqo.com\feb5ad60cb6a","body","6","2","0",
"ok","200","How to Make AI Virtual Agents Without Coding - InfoQo","https://us.infoqo.com/dsr?q=make%20ai%20virtual%20agents&arq=ai+virtual+agents&pub=vps_scraper&rac=make+ai+virtual+agents+read+more+info+on+ai+virtual+agents+ai+virtual+agents&asid=iq_ch364&terms=ai+virtual+agents&ad_id=0","https://us.infoqo.com/dsr?q=make%20ai%20virtual%20agents&arq=ai+virtual+agents&pub=vps_scraper&rac=make+ai+virtual+agents+read+more+info+on+ai+virtual+agents+ai+virtual+agents&asid=iq_ch364&terms=ai+virtual+agents&ad_id=0","C:\Users\Administrator\_projects\tool_scrape_web_page\scraped_output\us.infoqo.com\6b4e85506ad9","body","6","2","0",
"ok","200","How to Make AI Virtual Agents Without Coding - InfoQo","https://us.infoqo.com/dsr?q=make%20ai%20virtual%20agents&arq=ai+virtual+agents&pub=vps_scraper&rac=make+ai+virtual+agents+want+to+create+your+private+ai+agent+they+may+be+fully+customizable+and+could+interact+with+you+in+unimaginable+ways+interested+learn+more+on+ai+agents+on+the+site&asid=iq_ch385&terms=&ad_id=0","https://us.infoqo.com/dsr?q=make%20ai%20virtual%20agents&arq=ai+virtual+agents&pub=vps_scraper&rac=make+ai+virtual+agents+want+to+create+your+private+ai+agent+they+may+be+fully+customizable+and+could+interact+with+you+in+unimaginable+ways+interested+learn+more+on+ai+agents+on+the+site&asid=iq_ch385&terms=&ad_id=0","C:\Users\Administrator\_projects\tool_scrape_web_page\scraped_output\us.infoqo.com\f359e469ff99","body","6","2","0",
"ok","200","SME Phone Packages 2026: 5 Rock-Bottom Plans Under $15 That Still Work - InfoQo","https://us.infoqo.com/dsr?q=sme+phone+packages+2026&de=c&arq=sme+phone+plans+2026&pub=vps_scraper&rac=hurry+learn+more+about+sme+phone+packages+2026+on+the+site+below&asid=iq_ch219&terms=sme+phone+packages+2026+best+phone+systems+2026+smb+phone+package+phone+packages+for+smb+for+you+2026&ad_id=0","https://us.infoqo.com/dsr?q=sme+phone+packages+2026&de=c&arq=sme+phone+plans+2026&pub=vps_scraper&rac=hurry+learn+more+about+sme+phone+packages+2026+on+the+site+below&asid=iq_ch219&terms=sme+phone+packages+2026+best+phone+systems+2026+smb+phone+package+phone+packages+for+smb+for+you+2026&ad_id=0","C:\Users\Administrator\_projects\tool_scrape_web_page\scraped_output\us.infoqo.com\42a0ccb8c23b","body","6","2","0",
"ok","200","Top Use Cases of AI Phone Agent in 2026: From NASA to Your Local Farm - InfoQo","https://us.infoqo.com/dsr?q=use%20cases%20of%20ai%20phone%20agent&arq=ai+phone+agent&pub=vps_scraper&rac=use+cases+of+ai+phone+agent+ai+phone+agent&asid=iq_ch425&terms=ai+phone+agent&ad_id=0","https://us.infoqo.com/dsr?q=use%20cases%20of%20ai%20phone%20agent&arq=ai+phone+agent&pub=vps_scraper&rac=use+cases+of+ai+phone+agent+ai+phone+agent&asid=iq_ch425&terms=ai+phone+agent&ad_id=0","C:\Users\Administrator\_projects\tool_scrape_web_page\scraped_output\us.infoqo.com\0de066eb688f","body","6","2","0",
"ok","200","Use Cases of AI Virtual Agents: 23 Real-World Examples - InfoQo","https://us.infoqo.com/dsr?q=use%20cases%20of%20ai%20virtual%20agents&arq=ai+virtual+agents&pub=vps_scraper&rac=use+cases+of+ai+virtual+agents+read+more+info+on+ai+virtual+agents+ai+virtual+agents&asid=iq_ch438&terms=&ad_id=0","https://us.infoqo.com/dsr?q=use%20cases%20of%20ai%20virtual%20agents&arq=ai+virtual+agents&pub=vps_scraper&rac=use+cases+of+ai+virtual+agents+read+more+info+on+ai+virtual+agents+ai+virtual+agents&asid=iq_ch438&terms=&ad_id=0","C:\Users\Administrator\_projects\tool_scrape_web_page\scraped_output\us.infoqo.com\bbfa316800f0","body","6","2","0",
"ok","200","Use Cases of AI Virtual Agents: 23 Real-World Examples - InfoQo","https://us.infoqo.com/dsr?q=use+cases+of+ai+virtual+agents&de=c&arq=ai+virtual+agents&pub=vps_scraper&rac=use+cases+of+ai+virtual+agents+read+more+info+on+ai+agents+ai+virtual+agents&asid=iq_ch191&terms=&ad_id=0","https://us.infoqo.com/dsr?q=use+cases+of+ai+virtual+agents&de=c&arq=ai+virtual+agents&pub=vps_scraper&rac=use+cases+of+ai+virtual+agents+read+more+info+on+ai+agents+ai+virtual+agents&asid=iq_ch191&terms=&ad_id=0","C:\Users\Administrator\_projects\tool_scrape_web_page\scraped_output\us.infoqo.com\1a5ecccb129f","body","6","2","0",
"ok","200","AI Application Security Methods Explained for Beginners - Discovaz","https://www.discovaz.com/dsr?q=ai+application+security+methods+explained&de=mobile&arq=ai+application+security&pub=vps_scraper&rac=learn+more+about+ai+application+security+methods&asid=a1_ch4818&terms=&locale=en_US&ad_id=0","https://www.discovaz.com/dsr?q=ai+application+security+methods+explained&de=mobile&arq=ai+application+security&pub=vps_scraper&rac=learn+more+about+ai+application+security+methods&asid=a1_ch4818&terms=&locale=en_US&ad_id=0","C:\Users\Administrator\_projects\tool_scrape_web_page\scraped_output\www.discovaz.com\a93060ed249d","body","3","2","0",
"ok","200","AI Helpdesk Basics for Beginners - Discovaz","https://www.discovaz.com/dsr?q=ai+helpdesk&de=mobile&arq=ai+helpdesk&pub=vps_scraper&rac=learn+more+about+ai+helpdesk&asid=a1_ch4819&terms=&locale=en_US&ad_id=0","https://www.discovaz.com/dsr?q=ai+helpdesk&de=mobile&arq=ai+helpdesk&pub=vps_scraper&rac=learn+more+about+ai+helpdesk&asid=a1_ch4819&terms=&locale=en_US&ad_id=0","C:\Users\Administrator\_projects\tool_scrape_web_page\scraped_output\www.discovaz.com\bfc84c6c8a2e","body","3","2","0",
