日期,站点,Location,AD Content,LP Title,LP URL,视频链接,频道,播放量,点赞量,发布时间,平台,格式
2026/7/13,discovaz.com,US,Learn more here. learn about Energy Management Tools,Discovaz access denied,https://www.discovaz.com/dsr?q=learn%20broadly%20about%20of%20energy%20management%20tools&arq=energy+management+tools&pub={placement}&rac=learn+broadly+about+of+energy+management+tools+start+learning+about+energy+management+tools+energy+management+tools&asid=a1_ch7892&terms=&locale=en_US&ad_id={creative},https://www.youtube.com/watch?v=Ek_cp0UQYo0,Video ad upload channel,29698,79,2026-06-17T08:25:22Z,google,video
2026/7/13,discovaz.com,US,Learn more here. learn about application security,Discovaz access denied,https://www.discovaz.com/dsr?q=discover+more+information+about+application+security&de=mobile&arq=application+security&pub={placement}&rac=discover+more+information+about+application+security+start+learning+about+application+security+application+security&asid=a1_ch3240&terms=&locale=en_US&ad_id={creative},https://www.youtube.com/watch?v=-p03movv36o,Video ad upload channel,366722,775,2026-04-14T10:11:44Z,google,video
2026/7/13,discovaz.com,US,Learn More. Read more info about home elevator,Discovaz access denied,https://www.discovaz.com/dsr?q=learn+broadly+about+home+elevator&de=mobile&arq=home+elevator&pub={placement}&rac=learn+broadly+about+home+elevator+read+more+info+about+home+elevator+home+elevator&asid=a1_ch2938&terms=&locale=en_US&ad_id={creative},https://www.youtube.com/watch?v=7XR-6ruXd9M,Video ad upload channel,5711839,17868,2026-04-14T08:32:33Z,google,video
2026/7/13,discovaz.com,US,Learn more. Read more info on Medical software 2026,Discovaz access denied,https://www.discovaz.com/dsr?q=exploring%20medical%20software%202026&arq=medical+software+2026&pub={placement}&rac=exploring+medical+software+2026+medical+software+2026&asid=a1_ch7276&terms=medical+software+2026&locale=en_US&ad_id={creative},https://www.youtube.com/watch?v=7xuBQGm2OQ0,Video ad upload channel,1146206,2268,2026-06-09T09:01:46Z,google,video
2026/7/13,discovaz.com,US,Learn More. Learn broadly about AI Automation,Discovaz access denied,https://www.discovaz.com/dsr?q=learn%20broadly%20about%20ai%20automation%20solutions&arq=ai+automation&pub={placement}&rac=learn+broadly+about+ai+automation+solutions+learn+broadly+about+ai+automation+ai+automation&asid=a1_ch7731&terms=ai+automation&locale=en_US&ad_id={creative},https://www.youtube.com/watch?v=W8HQcdeh6zQ,Video ad upload channel,13570,41,2026-06-15T13:34:44Z,google,video
2026/7/13,discovaz.com,US,Learn More. Learn related info about 3d design and animation.,Discovaz access denied,https://www.discovaz.com/dsr?q=get+an+overview+of+3d+design+and+animation&de=m&arq=3d+design+and+animation&pub=google.com&rac=get+an+overview+of+3d+design+and+animation+learn+related+info+about+3d+design+and+animation+3d+design+and+animation&asid=b14_ch139&locale=en_US&ad_id={creative},https://www.youtube.com/watch?v=xyiQc7vQkdc,Click & Create,12639187,21587,2026-01-16T09:45:43Z,google,video
2026/7/13,discovaz.com,US,See more info about AI Helpdesk. See more info about AI Helpdesk,Discovaz access denied,https://www.discovaz.com/dsr?q=ai+helpdesk&de=mobile&arq=ai+helpdesk&pub={placement}&rac=learn+more+about+ai+helpdesk&asid=a1_ch4819&terms=&locale=en_US&ad_id={creative},https://www.youtube.com/watch?v=KXtEIf_YoKs,,,,,google,video
2026/7/13,discovaz.com,US,Read more. Learn more info on Smbs Phone Packages For You,Discovaz access denied,https://www.discovaz.com/dsr?q=learn+more+info+on+phone+packages+for+smbs+for+you&de=m&arq=phone+packages+for+smbs+for+you&pub=google.com&rac=learn+more+info+on+phone+packages+for+smbs+for+you+learn+more+info+on+smbs+phone+packages+for+you+phone+packages+for+smbs+for+you&asid=a1_ch341&locale=en_US&ad_id={creative},https://www.youtube.com/watch?v=noaA2NIK-II,DailyConsumer,8010479,27110,2026-02-11T14:03:56Z,google,video
2026/7/13,discovaz.com,US,Learn More. Read more info phone packages,Discovaz access denied,https://www.discovaz.com/dsr?q=get+insights+on+phone+packages+for+smbs&de=m&arq=phone+packages+for+smbs&pub=google.com&rac=get+insights+on+phone+packages+for+smbs+read+more+info+phone+packages+phone+packages+for+smbs&asid=b15_ch53&locale=en_US&ad_id={creative},https://www.youtube.com/watch?v=AcnKckR6AT8,DailyConsumer,12226662,36794,2026-01-09T12:01:46Z,google,video
2026/7/13,discovaz.com,US,Read more. Learn more info on Smbs Phone Packages For You,Discovaz access denied,https://www.discovaz.com/dsr?q=learn+more+info+on+phone+packages+for+smbs+for+you&de=m&arq=phone+packages+for+smbs+for+you&pub=google.com&rac=learn+more+info+on+phone+packages+for+smbs+for+you+learn+more+info+on+smbs+phone+packages+for+you+phone+packages+for+smbs+for+you&asid=a1_ch166&locale=en_US&ad_id={creative},https://www.youtube.com/watch?v=mFnQbTz5jno,DailyConsumer,2317321,9295,2026-03-12T12:12:37Z,google,video
